text,name,id,lang,translated
DEN assisten från Kemba Walker till Jaylen Brown!  #nba https://t.co/AHsCxFfX8z,cmoresport,31806011,sv,THE assistant from Kemba Walker to Jaylen Brown! #nba https://t.co/AHsCxFfX8z
Har du också SHL-abstinens? Lugn  här kommer ett klipp med lite gott och blandat från säsongen så här långt! Se oc https://t.co/ZvBkc7rSmL,cmoresport,31806011,sv,Do you also have SHL withdrawal? Quiet here comes a clip with some good and mixed from the season so far! See also https://t.co/ZvBkc7rSmL
Västerås är stekheta! 8:e raka segern! #twittpuck #hockeyallsvenskan https://t.co/s8ysMbZHgB,cmoresport,31806011,sv,Västerås is baking! 8th straight victory! #twittpuck #hockeyallsvenskan https://t.co/s8ysMbZHgB
"NBA!
Toronto RaptorsLos Angeles Clippers
01.00
C More och Sportkanalen
https://t.co/V99vOpXPm5
#NBA https://t.co/OqHC6Jh3aB",cmoresport,31806011,de,NBA! Toronto RaptorsLos Angeles Clippers 01.00 C More and Sports Channel https://t.co/V99vOpXPm5 #NBA https://t.co/OqHC6Jh3aB
"@gummiband Hej. 
Vi hade ett fel mellan sändningsbussen och tv-huset vilket medförde att ljudet inte kom fram som d https://t.co/J6gKrHwJXW",cmoresport,31806011,sv,"@gummiband Hi. We had a fault between the broadcast bus and the TV house, which meant that the sound did not appear as d https://t.co/J6gKrHwJXW"
"@antonj85 Hej. 
Vi hade ett fel mellan sändningsbussen och tv-huset vilket medförde att ljudet inte kom fram som de https://t.co/s0RroeHphR",cmoresport,31806011,sv,"@ antonj85 Hi. We had an error between the broadcast bus and the TV house, which meant that the sound did not appear as they https://t.co/s0RroeHphR"
"@Daavieri Det ska inte ha med det att göra. 
Vi hade ett fel mellan sändningsbussen och tv-huset vilket medförde at https://t.co/Y4A8xeLSdp",cmoresport,31806011,sv,@Daavieri It shouldn&#39;t have to do with it. We had an error between the broadcast bus and the TV house which resulted in https://t.co/Y4A8xeLSdp
"@ks_berg Hej. 
Vi hade ett fel mellan sändningsbussen och tv-huset vilket medförde att ljudet inte kom fram som det https://t.co/HUnk6fitcM",cmoresport,31806011,sv,"@ks_berg Hi. We had an error between the broadcast bus and the TV house, which meant that the sound did not arrive as it https://t.co/HUnk6fitcM"
"@lekessss Hej. 
Vi hade ett fel mellan sändningsbussen och tv-huset vilket medförde att ljudet inte kom fram som de https://t.co/MMS18IhR7A",cmoresport,31806011,sv,"@lekessss Hi. We had an error between the broadcast bus and the TV house, which meant that the sound did not appear as they https://t.co/MMS18IhR7A"
"@rillle Hej. 
Vi hade ett fel mellan sändningsbussen och tv-huset vilket medförde att ljudet inte kom fram som det https://t.co/W8ksQjQz5Q",cmoresport,31806011,sv,"@rillle Hi. We had an error between the broadcast bus and the TV house, which meant that the sound did not arrive as it https://t.co/W8ksQjQz5Q"
"@NiklasAsplundd Hej. 
Vi hade ett fel mellan sändningsbussen och tv-huset vilket medförde att ljudet inte kom fram https://t.co/4AfpNElP1B",cmoresport,31806011,sv,"@NiklasAsplundd Hi. We had an error between the broadcast bus and the TV house, which meant the sound did not arrive https://t.co/4AfpNElP1B"
"@DomarenErik Hej. 
Vi hade ett fel mellan sändningsbussen och tv-huset vilket medförde att ljudet inte kom fram som https://t.co/0Dl2RFHHcF",cmoresport,31806011,sv,"@DomarenErik Hi. We had an error between the broadcast bus and the TV house, which meant that the sound did not appear as https://t.co/0Dl2RFHHcF"
"@taege81 Hej. 
Vi hade ett fel mellan sändningsbussen och tv-huset vilket medförde att ljudet inte kom fram som det https://t.co/FWPBO8POpy",cmoresport,31806011,sv,@ taege81 Hi. We had an error between the broadcast bus and the TV house which caused the sound to not appear as it https://t.co/FWPBO8POpy
"@jackesjoberg Hej. 
Vi hade ett fel mellan sändningsbussen och tv-huset vilket medförde att ljudet inte kom fram so https://t.co/jI6pX4SlKK",cmoresport,31806011,sv,"@jackesjoberg Hi. We had an error between the broadcast bus and the TV house, which meant the sound did not arrive so https://t.co/jI6pX4SlKK"
"@digistivedave Hej. 
Vi hade ett fel mellan sändningsbussen och tv-huset vilket medförde att ljudet inte kom fram s https://t.co/JdbKrD5AqB",cmoresport,31806011,sv,"@digistivedave Hi. We had an error between the broadcast bus and the TV house, which caused the sound to not appear s https://t.co/JdbKrD5AqB"
"@Lovenbloggaren Hej. 
Vi hade ett fel mellan sändningsbussen och tv-huset vilket medförde att ljudet inte kom fram https://t.co/4YBFBITQ3Q",cmoresport,31806011,sv,@Lovenbloggaren Hi. We had an error between the broadcast bus and the TV house which caused the sound to not appear https://t.co/4YBFBITQ3Q
"@mikael_bronten Hej. 
Vi hade ett fel mellan sändningsbussen och tv-huset vilket medförde att ljudet inte kom fram https://t.co/WJKt1hE3a9",cmoresport,31806011,sv,"@mikael_bronten Hi. We had an error between the broadcast bus and the TV house, which meant the sound did not arrive https://t.co/WJKt1hE3a9"
"@saktaibackarna Hej. 
Vi hade ett fel mellan sändningsbussen och tv-huset vilket medförde att ljudet inte kom fram https://t.co/ZGDEGeZGqr",cmoresport,31806011,sv,"@saktaibackarna Hi. We had an error between the broadcast bus and the TV house, which caused the sound to not appear https://t.co/ZGDEGeZGqr"
"@jonas_gradin Hej. 
Vi hade ett fel mellan sändningsbussen och tv-huset vilket medförde att ljudet inte kom fram so https://t.co/cHI8gF1nDd",cmoresport,31806011,sv,"@jonas_gradin Hi. We had an error between the broadcast bus and the TV house, which meant that the sound did not arrive so https://t.co/cHI8gF1nDd"
"@SamuelHaapala Hej. 
Vi hade ett fel mellan sändningsbussen och tv-huset vilket medförde att ljudet inte kom fram s https://t.co/s0TiWzmMYf",cmoresport,31806011,sv,"@SamuelHaapala Hi. We had an error between the broadcast bus and the TV house, which meant the sound did not arrive s https://t.co/s0TiWzmMYf"
PANG! Olle Liss gör mål i sin första match för Björklöven!  #twittpuck #HockeyAllsvenskan https://t.co/F7cM0zjOeT,cmoresport,31806011,sv,WHAM! Olle Liss scores in his first match for Björklöven! #twittpuck #HockeyAllsvenskan https://t.co/F7cM0zjOeT
Det tog inte lång tid. Tingsryd kvitterar direkt i andra perioden!  #HockeyAllsvenskan #twittpuck https://t.co/eS31571Yan,cmoresport,31806011,sv,It didn&#39;t take long. Tingsryd acknowledges directly in the second period! #HockeyAllsvenskan #twittpuck https://t.co/eS31571Yan
"PGA-TOUREN!
Presidents Cup  första rundan!
22.40
C More
https://t.co/qiXcvbNll5 https://t.co/355fVMdNz4",cmoresport,31806011,sv,PGA Tour! Presidents Cup first round! 22.40 C More https://t.co/qiXcvbNll5 https://t.co/355fVMdNz4
Västerås tar ledningen i powerplay! #HockeyAllsvenskan #twittpuck https://t.co/BwVoOM7oVP,cmoresport,31806011,sv,Västerås takes the lead in powerplay! #HockeyAllsvenskan #twittpuck https://t.co/BwVoOM7oVP
"@PsyQoBlah Hej. Det stämmer, vi är medvetna om problemet och jobbar med på en lösning. 
/Stefan.",cmoresport,31806011,sv,"@PsyQoBlah Hi. That&#39;s right, we are aware of the problem and are working on a solution. / Stefan."
"Här är SHL:s poängkungar - i fem-mot-fem!  Tar du ettan utan att kolla?  

Se Hockeylabbet på Sportkanalen kloc https://t.co/2JrpODOXTA",cmoresport,31806011,sv,Here are SHL&#39;s points kings - in five against five! Do you take one without checking? See the Hockey Lab on the Sports Channel at https://t.co/2JrpODOXTA
"Västerås Sebastian Benker tycker att nr 5, Nicklas Lidström, kan vara något för VIK.. 

Se Västerås-Björklöven här https://t.co/MjtteqRniW",cmoresport,31806011,sv,"Västerås Sebastian Benker thinks that no 5, Nicklas Lidström, can be something for VIK .. See Västerås-Björklöven here https://t.co/MjtteqRniW"
"HOCKEYALLSVENSKAN! 
VästeråsBjörklöven
ModoMora
TingsrydTimrå
AIKKristianstad
Vita HästenBik Karlskoga
 https://t.co/cofZ6gYjx3",cmoresport,31806011,sv,Hockeyallsvenskan! VästeråsBjörklöven ModoMora TingsrydTimrå AIKKristianstad Vita HästenBik Karlskoga https://t.co/cofZ6gYjx3
@KrickanKHK Har fått lite annan information sedan första svaret. Vi på C More gör inget aktivt för att stänga strea https://t.co/pjyyENBZR6,cmoresport,31806011,sv,@KrickanKHK Got some other information since the first answer. We at C More do nothing to close stream https://t.co/pjyyENBZR6
"@coachcicero Hej,
Som en operatörskund kan du fortsätta kika på C Mores utbud via streamingtjänsten :) Logga in som https://t.co/COyqGJHlKH",cmoresport,31806011,sv,"@coachcicero Hello, As an operator customer you can continue to look at C More&#39;s offer via the streaming service :) Log in as https://t.co/COyqGJHlKH"
@KrickanKHK Ja det kommer gå jättebra att använda din operatörsinloggning för att ta del av vårt innehåll på https://t.co/YRs53v5SwH,cmoresport,31806011,sv,@KrickanKHK Yes it will be great to use your operator login to access our content at https://t.co/YRs53v5SwH
"@KrickanKHK Hej Christoffer, vi gör ingen aktiv blockering från vår sida, varken i inloggningen via operatör eller https://t.co/S1wGAkDAIk",cmoresport,31806011,sv,"@KrickanKHK Hi Christoffer, we do not actively block from our site, neither in login via operator nor https://t.co/S1wGAkDAIk"
"NBA!
Philadelphia 76ersDenver Nuggets
02.00
C More och Sportkanalen
https://t.co/y8frPezHfQ
#NBA https://t.co/d7wnGxTDlD",cmoresport,31806011,de,NBA! Philadelphia 76ersDenver Nuggets 02.00 C More and the Sports Channel https://t.co/y8frPezHfQ #NBA https://t.co/d7wnGxTDlD
"HANDBOLLSLIGAN! 
SävehofVarberg
18.55
C More och Sportkanalen
https://t.co/WniYXLXZEv https://t.co/tcsidSIdBh",cmoresport,31806011,sv,Handball League! SävehofVarberg 18.55 C More and Sportkanalen https://t.co/WniYXLXZEv https://t.co/tcsidSIdBh
Här är SHL:s fem bästa poängmakare! Vem vinner poängligan?   #twittpuck #shl https://t.co/NxZQATldyc,cmoresport,31806011,sv,Here are SHL&#39;s five best scorer! Who wins the points? #twittpuck #shl https://t.co/NxZQATldyc
"RT @TV4Sport: C More sänder DITT lags match  skänk pengar till vår bössa och ha chansen att vinna! 

https://t.co/my7yADEGAx https://t.co/",cmoresport,31806011,sv,RT @ TV4Sport: C More sends your team&#39;s match donate money to our box and have the chance to win! https://t.co/my7yADEGAx https://t.co/
"@LitenH83 Då får du fram alternativen för att pausa, spola framåt osv. Uppe eller nere i högra hörnet så ska du se https://t.co/5JhDwQvTeu",cmoresport,31806011,sv,"@ LitenH83 Then you get the options for pausing, fast forwarding etc. Up or down in the right corner you should see https://t.co/5JhDwQvTeu"
"@LitenH83 Hej Hanna!
Vår app är inte kompitabel med skärmdubblering. Däremot så är den uppbyggd för att fungera med https://t.co/c2bfOYMDXt",cmoresport,31806011,sv,"@ LitenH83 Hi Hanna! Our app is not compatible with screen duplication. However, it is designed to work with https://t.co/c2bfOYMDXt"
"@agne987 Hej Dennis! Idag så är det inte möjligt, däremot så kan jag ta detta vidare och se om det är något vi kan ändra på :)
Mvh, Pierre",cmoresport,31806011,sv,"@ agne987 Hi Dennis! Today it is not possible, however I can take this further and see if there is something we can change :) Mvh, Pierre"
"NBA!
Indiana PacersLos Angeles Clippers
01.00
C More och Sportkanalen
https://t.co/hR7aAvwi7h https://t.co/RZcUbfV5Qg",cmoresport,31806011,de,NBA! Indiana PacersLos Angeles Clippers 01.00 C More and Sports Channel https://t.co/hR7aAvwi7h https://t.co/RZcUbfV5Qg
AIK:s tunga säsong fortsätter! I matchens sista sju minuter tappade laget från ledning till förlust #Twittpuck https://t.co/e11jWCYnpU,cmoresport,31806011,sv,"AIK&#39;s heavy season continues! In the final seven minutes of the match, the team lost from leadership to loss #Twittpuck https://t.co/e11jWCYnpU"
AIK fick ett powerplay längre än två minuter. Varför? Båsdörren gick inte att öppna... #Twittpuck https://t.co/8fP00ove2w,cmoresport,31806011,sv,AIK got a powerplay longer than two minutes. Why? The booth door could not be opened ... #Twittpuck https://t.co/8fP00ove2w
Nollan är spräckt på Hovet. Henrik Rommel ger hemmalaget @aikishockey ledningen mot Almtuna. #Twittpuck https://t.co/NvICH501pc,cmoresport,31806011,sv,Zero is cracked on the hoof. Henrik Rommel gives the home team @aikishockey the lead against Almtuna. #Twittpuck https://t.co/NvICH501pc
PANG! @SodertaljeSK utökar till 2-0 genom Christopher Bengtsson i powerplay. #Twittpuck #Hockeyallsvenskan https://t.co/oEKbMbFDlJ,cmoresport,31806011,sv,WHAM! @SodertaljeSK increases to 2-0 by Christopher Bengtsson in powerplay. #Twittpuck #Hockeyallsvenskan https://t.co/oEKbMbFDlJ
19-årige Adam Wilsby ger Södertälje ledningen #Twittpuck #Hockeyallsvenskan https://t.co/Q2L4xca3Tc,cmoresport,31806011,sv,19-year-old Adam Wilsby gives Södertälje the lead #Twittpuck #Hockeyallsvenskan https://t.co/Q2L4xca3Tc
"@LitenH83 Hej. AirPlay direkt från appen ska fungera. Skärmdubblering kan ge svart skärm. Så hoppas du fått bild nu  
/Stefan",cmoresport,31806011,sv,@ LitenH83 Hi. AirPlay directly from the app should work. Screen duplication can produce a black screen. So hope you got a picture now / Stefan
"HANDBOLLSLIGAN! 
MalmöKristianstad
HelsingborgYstads IF
Eskilstuna GuifAlingsås
18.50
C More och Sportk https://t.co/hJ8oR2JBZS",cmoresport,31806011,sv,Handball League! MalmöKristianstad HelsingborgYstads IF Eskilstuna GuifAlingsås 18.50 C More and Sportk https://t.co/hJ8oR2JBZS
"HOCKEYALLSVENSKAN! 
AIKAlmtuna
VästervikSödertälje
18.55
C More
https://t.co/qiXcvbvJWv https://t.co/WqVpnqIxj8",cmoresport,31806011,sv,Hockeyallsvenskan! AIKAlmtuna VästervikSödertälje 18.55 C More https://t.co/qiXcvbvJWv https://t.co/WqVpnqIxj8
Ryktet om att @MacahanZeb ska på matchen slog till hårt. https://t.co/C2q2eq7vit,antonj85,1390075531,sv,The rumor that @MacahanZeb will be on the match hit hard. https://t.co/C2q2eq7vit
@TrakHockey IF,antonj85,1390075531,und,@TrakHockey IF
"RT @HockeynewsSe: Uppladdningen inför JVM fortsätter!
Denna gång får ni följa med @sjobergh till landets norra delar där han träffat Luleås",antonj85,1390075531,sv,RT @HockeynewsSe: Upload for JVM continues! This time you can follow @sjobergh to the northern parts of the country where he met Luleås
@TrakHockey @MacahanZeb @SebEdvardsson @DaveDavve Undra om forden är kvar?,antonj85,1390075531,sv,@TrakHockey @MacahanZeb @SebEdvardsson @DaveDavve Wonder if the ford is left?
@TrakHockey @MacahanZeb @SebEdvardsson @DaveDavve Vi sparar det tills Kalix är på hemmaplan.,antonj85,1390075531,sv,@TrakHockey @MacahanZeb @SebEdvardsson @DaveDavve We save it until Kalix is at home.
@TrakHockey @SebEdvardsson @DaveDavve Ingen minns en fegis.,antonj85,1390075531,sv,@TrakHockey @SebEdvardsson @DaveDavve No one remembers a coward.
@jerylee89 @MacahanZeb r nog mest orolig över hur Thailand överlever hans besök...,antonj85,1390075531,sv,@ jerylee89 @MacahanZeb is probably most worried about how Thailand survives his visit ...
"@MacahanZeb Jo just, vi vet varför du flyr. https://t.co/fXFnwqrBjo",antonj85,1390075531,sv,"@MacahanZeb Well, we know why you&#39;re flying. https://t.co/fXFnwqrBjo"
@MacahanZeb Börjar du bli för känd hos kvinnorna så att du byter stad?,antonj85,1390075531,sv,@MacahanZeb Are you starting to get too famous with the women so you change town?
@parpapappa @MellaAnton @HeyBarber @vaxjolakers @HockeyWebCast Och det vet du?,antonj85,1390075531,sv,@parpa dad @MellaAnton @HeyBarber @vaxjolakers @HockeyWebCast And you know that?
@DaveDavve @MacahanZeb Vill ju vara snäll mot min vän och Sveriges bästa kock.,antonj85,1390075531,sv,@DaveDavve @MacahanZeb Want to be nice to my friend and Sweden&#39;s best chef.
